,oracion,nombre,numero_oracion,cant_palabra,cant_caracteres,propMayor2,propMayor3,palContenido,NpalContenido,Numeros,nombreRepetido
0,"La censura de prensa, la persecución a intelectuales, el allanamiento de mi casa en el Tigre, el asesinato de amigos queridos y la pérdida de una hija que murió combatiéndolos, son algunos de los hechos que me obligan a esta forma de expresión clandestina después de haber opinado libremente como escritor y periodista durante casi treinta años.",carta_abierta,0,57,345,0.6491228070175439,0.5614035087719298,"['censura', 'prensa', 'persecución', 'intelectuales', 'allanamiento', 'casa', 'tigre', 'asesinato', 'amigos', 'queridos', 'pérdida', 'hija', 'murió', 'combatiéndolos', 'son', 'hechos', 'obligan', 'forma', 'expresión', 'clandestina', 'después', 'haber', 'opinado', 'libremente', 'escritor', 'periodista', 'casi', 'treinta', 'años']",29,False,[]
1,"El primer aniversario de esta Junta Militar ha motivado un balance de la acción de gobierno en documentos y discursos oficiales, donde lo que ustedes llaman aciertos son errores, los que reconocen como errores son crímenes y lo que omiten son calamidades.",carta_abierta,1,42,255,0.7142857142857143,0.5476190476190477,"['primer', 'aniversario', 'junta', 'militar', 'ha', 'motivado', 'balance', 'acción', 'gobierno', 'documentos', 'discursos', 'oficiales', 'ustedes', 'llaman', 'aciertos', 'son', 'errores', 'reconocen', 'errores', 'son', 'crímenes', 'omiten', 'son', 'calamidades']",24,False,[]
2,"El 24 de marzo de 1976 derrocaron ustedes a un gobierno del que formaban parte, a cuyo desprestigio contribuyeron como ejecutores de su política represiva, y cuyo término estaba señalado por elecciones convocadas para nueve meses más tarde.",carta_abierta,2,38,240,0.7105263157894737,0.6052631578947368,"['marzo', 'derrocaron', 'ustedes', 'gobierno', 'formaban', 'parte', 'cuyo', 'desprestigio', 'contribuyeron', 'ejecutores', 'política', 'represiva', 'cuyo', 'término', 'estaba', 'señalado', 'elecciones', 'convocadas', 'nueve', 'meses', 'tarde']",21,True,[]
3,En esa perspectiva lo que ustedes liquidaron no fue el mandato transitorio de Isabel Martínez sino la posibilidad de un proceso democrático donde el pueblo remediara males que ustedes continuaron y agravaron.,carta_abierta,3,32,208,0.6875,0.5625,"['perspectiva', 'ustedes', 'liquidaron', 'fue', 'mandato', 'transitorio', 'isabel', 'martínez', 'sino', 'posibilidad', 'proceso', 'democrático', 'pueblo', 'remediara', 'males', 'ustedes', 'continuaron', 'agravaron']",18,False,['isabel']
4,"Ilegítimo en su origen, el gobierno que ustedes ejercen pudo legitimarse en los hechos recuperando el programa en que coincidieron en las elecciones de 1973 el ochenta por ciento de los argentinos y que sigue en pie como expresión objetiva de la voluntad del pueblo, único significado posible de ese ""ser nacional"" que ustedes invocan tan a menudo.",carta_abierta,4,58,348,0.7068965517241379,0.4827586206896552,"['ilegítimo', 'origen', 'gobierno', 'ustedes', 'ejercen', 'pudo', 'legitimarse', 'hechos', 'recuperando', 'programa', 'coincidieron', 'elecciones', 'ochenta', 'ciento', 'argentinos', 'sigue', 'pie', 'expresión', 'objetiva', 'voluntad', 'pueblo', 'único', 'significado', 'posible', 'ser', 'nacional', 'ustedes', 'invocan', 'tan', 'menudo']",30,True,[]
5,"Invirtiendo ese camino han restaurado ustedes la corriente de ideas e intereses de minorías derrotadas que traban el desarrollo de las fuerzas productivas, explotan al pueblo y disgregan la Nación.",carta_abierta,5,30,197,0.7,0.5666666666666667,"['invirtiendo', 'camino', 'han', 'restaurado', 'ustedes', 'corriente', 'ideas', 'intereses', 'minorías', 'derrotadas', 'traban', 'desarrollo', 'fuerzas', 'productivas', 'explotan', 'pueblo', 'disgregan', 'nación']",18,False,[]
6,"Una política semejante sólo puede imponerse transitoriamente prohibiendo los partidos, interviniendo los sindicatos, amordazando la prensa e implantando el terror más profundo que ha conocido la sociedad argentina.",carta_abierta,6,28,214,0.8214285714285714,0.6428571428571429,"['política', 'semejante', 'sólo', 'puede', 'imponerse', 'transitoriamente', 'prohibiendo', 'partidos', 'interviniendo', 'sindicatos', 'amordazando', 'prensa', 'implantando', 'terror', 'profundo', 'ha', 'conocido', 'sociedad', 'argentina']",19,False,[]
7,"Quince mil desaparecidos, diez mil presos, cuatro mil muertos, decenas de miles de desterrados son la cifra desnuda de ese terror.",carta_abierta,7,21,130,0.8095238095238095,0.5714285714285714,"['quince', 'mil', 'desaparecidos', 'diez', 'mil', 'presos', 'cuatro', 'mil', 'muertos', 'decenas', 'miles', 'desterrados', 'son', 'cifra', 'desnuda', 'terror']",16,False,[]
8,"Colmadas las cárceles ordinarias, crearon ustedes en las principales guarniciones del país virtuales campos de concentración donde no entra ningún juez, abogado, periodista, observador internacional.",carta_abierta,8,25,199,0.88,0.76,"['colmadas', 'cárceles', 'ordinarias', 'crearon', 'ustedes', 'principales', 'guarniciones', 'país', 'virtuales', 'campos', 'concentración', 'entra', 'ningún', 'juez', 'abogado', 'periodista', 'observador', 'internacional']",18,False,[]
9,"El secreto militar de los procedimientos, invocado como necesidad de la investigación, convierte a la mayoría de las detenciones en secuestros que permiten la tortura sin límite y el fusilamiento sin juicio.",carta_abierta,9,32,207,0.65625,0.5,"['secreto', 'militar', 'procedimientos', 'invocado', 'necesidad', 'investigación', 'convierte', 'mayoría', 'detenciones', 'secuestros', 'permiten', 'tortura', 'límite', 'fusilamiento', 'juicio']",15,False,[]
10,Más de siete mil recursos de hábeas corpus han sido contestados negativamente este último año.,carta_abierta,10,15,94,0.8666666666666667,0.6,"['siete', 'mil', 'recursos', 'hábeas', 'corpus', 'han', 'sido', 'contestados', 'negativamente', 'último', 'año']",11,False,[]
11,En otros miles de casos de desaparición el recurso ni siquiera se ha presentado porque se conoce de antemano su inutilidad o porque no se encuentra abogado que ose presentarlo después que los cincuenta o sesenta que lo hacían fueron a su turno secuestrados.,carta_abierta,11,44,257,0.6136363636363636,0.5,"['miles', 'casos', 'desaparición', 'recurso', 'siquiera', 'ha', 'presentado', 'conoce', 'antemano', 'inutilidad', 'encuentra', 'abogado', 'ose', 'presentarlo', 'después', 'cincuenta', 'sesenta', 'hacían', 'fueron', 'turno', 'secuestrados']",21,False,[]
12,De este modo han despojado ustedes a la tortura de su límite en el tiempo.,carta_abierta,12,15,74,0.5333333333333333,0.4666666666666667,"['modo', 'han', 'despojado', 'ustedes', 'tortura', 'límite', 'tiempo']",7,False,[]
13,"Como el detenido no existe, no hay posibilidad de presentarlo al juez en diez días según manda una ley que fue respetada aún en las cumbres represivas de anteriores dictaduras.",carta_abierta,13,30,176,0.7333333333333333,0.5,"['detenido', 'existe', 'posibilidad', 'presentarlo', 'juez', 'diez', 'días', 'según', 'manda', 'ley', 'fue', 'respetada', 'aún', 'cumbres', 'represivas', 'anteriores', 'dictaduras']",17,False,[]
14,"La falta de límite en el tiempo ha sido complementada con la falta de límite en los métodos, retrocediendo a épocas en que se operó directamente sobre las articulaciones y las vísceras de las víctimas, ahora con auxiliares quirúrgicos y farmacológicos de que no dispusieron los antiguos verdugos.",carta_abierta,14,48,296,0.6666666666666666,0.4791666666666667,"['falta', 'límite', 'tiempo', 'ha', 'sido', 'complementada', 'falta', 'límite', 'métodos', 'retrocediendo', 'épocas', 'operó', 'directamente', 'articulaciones', 'vísceras', 'víctimas', 'ahora', 'auxiliares', 'quirúrgicos', 'farmacológicos', 'dispusieron', 'antiguos', 'verdugos']",23,False,[]
15,"El potro, el torno, el despellejamiento en vida, la sierra de los inquisidores medievales reaparecen en los testimonios junto con la picana y el ""submarino"", el soplete de las actualizaciones contemporáneas.",carta_abierta,15,31,207,0.6129032258064516,0.4838709677419355,"['potro', 'torno', 'despellejamiento', 'vida', 'sierra', 'inquisidores', 'medievales', 'reaparecen', 'testimonios', 'junto', 'picana', 'submarino', 'soplete', 'actualizaciones', 'contemporáneas']",15,False,[]
16,"Mediante sucesivas concesiones al supuesto de que el fin de exterminar a la guerrilla justifica todos los medios que usan, han llegado ustedes a la tortura absoluta, intemporal, metafísica en la medida que el fin original de obtener información se extravía en las mentes perturbadas que la administran para ceder al impulso de machacar la sustancia humana hasta quebrarla y hacerle perder la dignidad que perdió el verdugo, que ustedes mismos han perdido.",carta_abierta,16,73,455,0.7123287671232876,0.547945205479452,"['mediante', 'sucesivas', 'concesiones', 'supuesto', 'fin', 'exterminar', 'guerrilla', 'justifica', 'medios', 'usan', 'han', 'llegado', 'ustedes', 'tortura', 'absoluta', 'intemporal', 'metafísica', 'medida', 'fin', 'original', 'obtener', 'información', 'extravía', 'mentes', 'perturbadas', 'administran', 'ceder', 'impulso', 'machacar', 'sustancia', 'humana', 'quebrarla', 'hacerle', 'perder', 'dignidad', 'perdió', 'verdugo', 'ustedes', 'mismos', 'han', 'perdido']",41,False,[]
17,La negativa de esa Junta a publicar los nombres de los prisioneros es asimismo la cobertura de una sistemática ejecución de rehenes en lugares descampados y horas de la madrugada con el pretexto de fraguados combates e imaginarias tentativas de fuga.,carta_abierta,17,41,250,0.6097560975609756,0.4878048780487805,"['negativa', 'junta', 'publicar', 'nombres', 'prisioneros', 'es', 'asimismo', 'cobertura', 'sistemática', 'ejecución', 'rehenes', 'lugares', 'descampados', 'horas', 'madrugada', 'pretexto', 'fraguados', 'combates', 'imaginarias', 'tentativas', 'fuga']",21,False,[]
18,"Extremistas que panfletean el campo, pintan acequias o se amontonan de a diez en vehículos que se incendian son los estereotipos de un libreto que no está hecho para ser creído sino para burlar la reacción internacional ante ejecuciones en regla mientras en lo interno se subraya el carácter de represalias desatadas en los mismos lugares y en fecha inmediata a las acciones guerrilleras.",carta_abierta,18,64,388,0.671875,0.546875,"['extremistas', 'panfletean', 'campo', 'pintan', 'acequias', 'amontonan', 'diez', 'vehículos', 'incendian', 'son', 'estereotipos', 'libreto', 'está', 'hecho', 'ser', 'creído', 'sino', 'burlar', 'reacción', 'internacional', 'ejecuciones', 'regla', 'mientras', 'interno', 'subraya', 'carácter', 'represalias', 'desatadas', 'mismos', 'lugares', 'fecha', 'inmediata', 'acciones', 'guerrilleras']",34,False,[]
19,"Setenta fusilados tras la bomba en Seguridad Federal, 55 en respuesta a la voladura del Departamento de Policía de La Plata, 30 por el atentado en el Ministerio de Defensa, 40 en la Masacre del Año Nuevo que siguió a la muerte del coronel Castellanos, 19 tras la explosión que destruyó la comisaría de Ciudadela forman parte de 1.200 ejecuciones en 300 supuestos combates donde el oponente no tuvo heridos y las fuerzas a su mando no tuvieron muertos.",carta_abierta,19,79,451,0.5822784810126582,0.4810126582278481,"['setenta', 'fusilados', 'tras', 'bomba', 'seguridad', 'federal', 'respuesta', 'voladura', 'departamento', 'policía', 'plata', 'atentado', 'ministerio', 'defensa', 'masacre', 'año', 'nuevo', 'siguió', 'muerte', 'coronel', 'castellanos', 'tras', 'explosión', 'destruyó', 'comisaría', 'ciudadela', 'forman', 'parte', 'ejecuciones', 'supuestos', 'combates', 'oponente', 'tuvo', 'heridos', 'fuerzas', 'mando', 'tuvieron', 'muertos']",38,True,[]
20,"Depositarios de una culpa colectiva abolida en las normas civilizadas de justicia, incapaces de influir en la política que dicta los hechos por los cuales son represaliados, muchos de esos rehenes son delegados sindicales, intelectuales, familiares de guerrilleros, opositores no armados, simples sospechosos a los que se mata para equilibrar la balanza de las bajas según la doctrina extranjera de ""cuenta-cadáveres"" que usaron los SS en los países ocupados y los invasores en Vietnam.",carta_abierta,20,74,486,0.7432432432432432,0.5405405405405406,"['depositarios', 'culpa', 'colectiva', 'abolida', 'normas', 'civilizadas', 'justicia', 'incapaces', 'influir', 'política', 'dicta', 'hechos', 'cuales', 'son', 'represaliados', 'rehenes', 'son', 'delegados', 'sindicales', 'intelectuales', 'familiares', 'guerrilleros', 'opositores', 'armados', 'simples', 'sospechosos', 'mata', 'equilibrar', 'balanza', 'bajas', 'según', 'doctrina', 'extranjera', 'cuentacadáveres', 'usaron', 'ss', 'países', 'ocupados', 'invasores', 'vietnam']",40,False,[]
21,"El remate de guerrilleros heridos o capturados en combates reales es asimismo una evidencia que surge de los comunicados militares que en un año atribuyeron a la guerrilla 600 muertos y sólo 10 ó 15 heridos, proporción desconocida en los más encarnizados conflictos.",carta_abierta,21,43,266,0.627906976744186,0.46511627906976744,"['remate', 'guerrilleros', 'heridos', 'capturados', 'combates', 'reales', 'es', 'asimismo', 'evidencia', 'surge', 'comunicados', 'militares', 'año', 'atribuyeron', 'guerrilla', 'muertos', 'sólo', 'ó', 'heridos', 'proporción', 'desconocida', 'encarnizados', 'conflictos']",23,True,[]
22,"Esta impresión es confirmada por un muestreo periodístico de circulación clandestina que revela que entre el 18 de diciembre de 1976 y el 3 de febrero de 1977, en 40 acciones reales, las fuerzas legales tuvieron 23 muertos y 40 heridos, y la guerrilla 63 muertos.",carta_abierta,22,46,263,0.5217391304347826,0.43478260869565216,"['impresión', 'es', 'confirmada', 'muestreo', 'periodístico', 'circulación', 'clandestina', 'revela', 'diciembre', 'febrero', 'acciones', 'reales', 'fuerzas', 'legales', 'tuvieron', 'muertos', 'heridos', 'guerrilla', 'muertos']",19,True,[]
23,"Más de cien procesados han sido igualmente abatidos en tentativas de fuga cuyo relato oficial tampoco está destinado a que alguien lo crea sino a prevenir a la guerrilla y los partidos de que aún los presos reconocidos son la reserva estratégica de las represalias de que disponen los Comandantes de Cuerpo según la marcha de los combates, la conveniencia didáctica o el humor del momento.",carta_abierta,23,66,389,0.7121212121212122,0.5151515151515151,"['cien', 'procesados', 'han', 'sido', 'igualmente', 'abatidos', 'tentativas', 'fuga', 'cuyo', 'relato', 'oficial', 'tampoco', 'está', 'destinado', 'alguien', 'crea', 'sino', 'prevenir', 'guerrilla', 'partidos', 'aún', 'presos', 'reconocidos', 'son', 'reserva', 'estratégica', 'represalias', 'disponen', 'comandantes', 'cuerpo', 'según', 'marcha', 'combates', 'conveniencia', 'didáctica', 'humor', 'momento']",37,False,[]
24,"Así ha ganado sus laureles el general Benjamín Menéndez, jefe del Tercer Cuerpo de Ejército, antes del 24 de marzo con el asesinato de Marcos Osatinsky, detenido en Córdoba, después con la muerte de Hugo Vaca Narvaja y otros cincuenta prisioneros en variadas aplicaciones de la ley de fuga ejecutadas sin piedad y narradas sin pudor.",carta_abierta,24,56,333,0.7142857142857143,0.5535714285714286,"['así', 'ha', 'ganado', 'laureles', 'general', 'benjamín', 'menéndez', 'jefe', 'tercer', 'cuerpo', 'ejército', 'marzo', 'asesinato', 'marcos', 'osatinsky', 'detenido', 'córdoba', 'después', 'muerte', 'hugo', 'vaca', 'narvaja', 'cincuenta', 'prisioneros', 'variadas', 'aplicaciones', 'ley', 'fuga', 'ejecutadas', 'piedad', 'narradas', 'pudor']",32,True,['córdoba']
