,index,doc_id,token,token_order,lemma,ent_type,tag,dep,pos,is_stop,is_alpha,is_digit,is_punct,syllables,syllables_count,frec,ncategorias
0,0,0,sólo,0,sólo,PER,ADV,advmod,ADV,True,True,False,False,"['só', 'lo']",2.0,7174,3
1,1,0,recuerdo,1,recordar,,VERB,ROOT,VERB,False,True,False,False,"['re', 'cuer', 'do']",3.0,896,5
2,2,0,esto,2,este,,PRON,obj,PRON,True,True,False,False,"['es', 'to']",2.0,2276,2
3,3,0,como,3,como,,SCONJ,mark,SCONJ,True,True,False,False,"['co', 'mo']",2.0,24440,5
4,4,0,prueba,4,prueba,,NOUN,obj,NOUN,False,True,False,False,"['prue', 'ba']",2.0,578,3
5,5,0,de,5,de,,ADP,mark,ADP,True,True,False,False,['de'],1.0,264834,4
6,6,0,que,6,que,,SCONJ,mark,SCONJ,True,True,False,False,['que'],1.0,153240,5
7,7,0,él,7,él,,PRON,nsubj,PRON,True,True,False,False,['él'],1.0,5809,2
8,8,0,anotaba,8,anotar,,VERB,acl,VERB,False,True,False,False,"['ano', 'ta', 'ba']",3.0,4,1
9,9,0,mis,9,mi,,DET,det,DET,True,True,False,False,['mis'],1.0,2256,3
10,10,0,comedias,10,comedia,,NOUN,obj,NOUN,False,True,False,False,"['co', 'me', 'dias']",3.0,33,3
11,11,0,en,11,en,,ADP,case,ADP,True,True,False,False,['en'],1.0,116349,3
12,12,0,la,12,el,,DET,det,DET,True,True,False,False,['la'],1.0,192562,6
13,13,0,cantina,13,cantina,,NOUN,obl,NOUN,False,True,False,False,"['canti', 'na']",2.0,28,1
14,0,1,tenía,0,tener,MISC,VERB,ROOT,VERB,True,True,False,False,"['te', 'nía']",2.0,3138,3
15,1,1,un,1,uno,,DET,det,DET,True,True,False,False,['un'],1.0,62236,4
16,2,1,impermeable,2,impermeable,,ADJ,amod,ADJ,False,True,False,False,"['im', 'per', 'mea', 'ble']",4.0,20,2
17,3,1,cerrado,3,cerrado,,ADJ,obj,ADJ,False,True,False,False,"['ce', 'rra', 'do']",3.0,192,4
18,4,1,hasta,4,hasta,,ADP,case,ADP,True,True,False,False,"['has', 'ta']",2.0,6437,3
19,5,1,el,5,el,,DET,det,DET,True,True,False,False,['el'],1.0,139638,3
20,6,1,cuello,6,cuello,,NOUN,nmod,NOUN,False,True,False,False,"['cue', 'llo']",2.0,411,1
21,8,1,las,8,el,,DET,det,DET,True,True,False,False,['las'],1.0,53845,5
22,9,1,manos,9,mano,,NOUN,obj,NOUN,False,True,False,False,"['ma', 'nos']",2.0,1591,3
23,10,1,en,10,en,,ADP,case,ADP,True,True,False,False,['en'],1.0,116349,3
24,11,1,los,11,el,,DET,det,DET,True,True,False,False,['los'],1.0,83522,6
25,12,1,bolsillos,12,bolsillo,,NOUN,nmod,NOUN,False,True,False,False,"['bol', 'si', 'llos']",3.0,74,1
26,0,2,mi,0,mi,MISC,DET,det,DET,True,True,False,False,['mi'],1.0,9450,4
27,1,2,amor,1,amor,MISC,NOUN,nsubj,NOUN,False,True,False,False,['amor'],1.0,1498,2
28,2,2,por,2,por,,ADP,case,ADP,True,True,False,False,['por'],1.0,40060,3
29,3,2,aquella,3,aquel,,DET,det,DET,True,True,False,False,"['aque', 'lla']",2.0,2157,5
30,4,2,necesidad,4,necesidad,,NOUN,obl,NOUN,False,True,False,False,"['ne', 'ce', 'si', 'dad']",4.0,590,2
31,5,2,había,5,haber,PER,AUX,aux,AUX,True,True,False,False,"['ha', 'bía']",2.0,10956,2
32,6,2,suprimido,6,suprimir,,VERB,ROOT,VERB,False,True,False,False,"['su', 'pri', 'mi', 'do']",4.0,8,1
33,7,2,el,7,el,,DET,det,DET,True,True,False,False,['el'],1.0,139638,3
34,8,2,pasado,8,pasado,,NOUN,obj,NOUN,True,True,False,False,"['pa', 'sa', 'do']",3.0,1805,5
35,9,2,y,9,y,,CCONJ,cc,CCONJ,False,True,False,False,['y'],1.0,140472,3
36,10,2,toda,10,todo,,DET,det,DET,True,True,False,False,"['to', 'da']",2.0,2670,4
37,11,2,atadura,11,atadura,,NOUN,conj,NOUN,False,True,False,False,"['ata', 'du', 'ra']",3.0,1,1
38,12,2,con,12,con,,ADP,case,ADP,True,True,False,False,['con'],1.0,47188,3
39,13,2,el,13,el,,DET,det,DET,True,True,False,False,['el'],1.0,139638,3
40,14,2,presente,14,presente,,NOUN,nmod,NOUN,False,True,False,False,"['pre', 'sen', 'te']",3.0,467,4
41,0,3,enderezó,0,enderezar,ORG,VERB,ROOT,VERB,False,True,False,False,"['en', 'de', 're', 'zó']",4.0,13,1
42,1,3,la,1,el,,DET,det,DET,True,True,False,False,['la'],1.0,192562,6
43,2,3,cabeza,2,cabeza,,NOUN,obj,NOUN,False,True,False,False,"['ca', 'be', 'za']",3.0,1978,3
44,3,3,y,3,y,,CCONJ,cc,CCONJ,False,True,False,False,['y'],1.0,140472,3
45,4,3,continuó,4,continuar,,VERB,conj,VERB,False,True,False,False,"['con', 'ti', 'nuó']",3.0,137,1
46,5,3,mirándome,5,mirándomar,,VERB,advcl,VERB,False,True,False,False,"['mi', 'rán', 'do', 'me']",4.0,40,1
47,6,3,en,6,en,,ADP,case,ADP,True,True,False,False,['en'],1.0,116349,3
48,7,3,silencio,7,silencio,,NOUN,obl,NOUN,False,True,False,False,"['si', 'len', 'cio']",3.0,940,4
49,0,4,usted,0,usted,PER,PRON,nsubj,PRON,True,True,False,False,"['us', 'ted']",2.0,2374,2
50,1,4,no,1,no,,ADV,advmod,ADV,True,True,False,False,['no'],1.0,55524,3
51,2,4,se,2,él,,PRON,obj,PRON,True,True,False,False,['se'],1.0,68473,3
52,3,4,va,3,ir,,AUX,aux,AUX,True,True,False,False,['va'],1.0,2323,2
53,4,4,a,4,a,,ADP,mark,ADP,False,True,False,False,['a'],1.0,91360,3
54,5,4,casar,5,casar,,VERB,ROOT,VERB,False,True,False,False,"['ca', 'sar']",2.0,38,2
55,6,4,con,6,con,,ADP,case,ADP,True,True,False,False,['con'],1.0,47188,3
56,7,4,ella,7,él,,PRON,obj,PRON,True,True,False,False,['ella'],1.0,5496,3
57,8,4,porque,8,porque,,SCONJ,mark,SCONJ,True,True,False,False,"['por', 'que']",2.0,7519,3
58,9,4,usted,9,usted,,PRON,nsubj,PRON,True,True,False,False,"['us', 'ted']",2.0,2374,2
59,10,4,es,10,ser,,AUX,cop,AUX,True,True,False,False,['es'],1.0,33839,3
60,11,4,viejo,11,viejo,,ADJ,advcl,ADJ,False,True,False,False,"['vie', 'jo']",2.0,938,3
61,12,4,y,12,y,,CCONJ,cc,CCONJ,False,True,False,False,['y'],1.0,140472,3
62,13,4,ella,13,él,,PRON,nsubj,PRON,True,True,False,False,['ella'],1.0,5496,3
