,index,doc_id,token,token_order,lemma,ent_type,tag,dep,pos,is_stop,is_alpha,is_digit,is_punct,syllables,syllables_count
0,0,0,Sólo,0,sólo,PER,ADV,advmod,ADV,True,True,False,False,"['só', 'lo']",2.0
1,1,0,recuerdo,1,recordar,,VERB,ROOT,VERB,False,True,False,False,"['re', 'cuer', 'do']",3.0
2,2,0,esto,2,este,,PRON,obj,PRON,True,True,False,False,"['es', 'to']",2.0
3,3,0,como,3,como,,SCONJ,mark,SCONJ,True,True,False,False,"['co', 'mo']",2.0
4,4,0,prueba,4,prueba,,NOUN,obj,NOUN,False,True,False,False,"['prue', 'ba']",2.0
5,5,0,de,5,de,,ADP,mark,ADP,True,True,False,False,['de'],1.0
6,6,0,que,6,que,,SCONJ,mark,SCONJ,True,True,False,False,['que'],1.0
7,7,0,él,7,él,,PRON,nsubj,PRON,True,True,False,False,['él'],1.0
8,8,0,anotaba,8,anotar,,VERB,acl,VERB,False,True,False,False,"['ano', 'ta', 'ba']",3.0
9,9,0,mis,9,mi,,DET,det,DET,True,True,False,False,['mis'],1.0
10,10,0,comedias,10,comedia,,NOUN,obj,NOUN,False,True,False,False,"['co', 'me', 'dias']",3.0
11,11,0,en,11,en,,ADP,case,ADP,True,True,False,False,['en'],1.0
12,12,0,la,12,el,,DET,det,DET,True,True,False,False,['la'],1.0
13,13,0,cantina,13,cantina,,NOUN,obl,NOUN,False,True,False,False,"['canti', 'na']",2.0
15,0,1,Tenía,0,tener,MISC,VERB,ROOT,VERB,True,True,False,False,"['te', 'nía']",2.0
16,1,1,un,1,uno,,DET,det,DET,True,True,False,False,['un'],1.0
17,2,1,impermeable,2,impermeable,,ADJ,amod,ADJ,False,True,False,False,"['im', 'per', 'mea', 'ble']",4.0
18,3,1,cerrado,3,cerrado,,ADJ,obj,ADJ,False,True,False,False,"['ce', 'rra', 'do']",3.0
19,4,1,hasta,4,hasta,,ADP,case,ADP,True,True,False,False,"['has', 'ta']",2.0
